user_address,ui_pay_amount,P,LV aidrop,LV total,player total 0.04%,revenues,,,,,,,,,,,,,
0x753FFB2667c39cD3be743e8e4D24303c9a8c26a2,"37,880",0.2685%,1074,,,,,,,,,,,,,,,,
0x431e84AFE1249c32306C546562fd2D220895e527,"36,580",0.2593%,1037,,,,,,,,,,,,,,,,
0xEbCBEA7bB67c4f787Bb8faB178C0E466CB8e3d77,"34,780",0.2466%,986,,,,,,,,,,,,,,,,
0x61bcd8d8C73FcA45fB8Ed8a895de19dB0195a07e,"34,400",0.2439%,975,,,,,,,,,,,,,,,,
0x400Ab8363bd206F7FA657339431E9bb74911b70e,"34,050",0.2414%,965,,,,,,,,,,,,,,,,
0xF328d9Bd5fE862119aD3C845d9fFA93f215F794d,"34,000",0.2410%,964,,,,,,,,,,,,,,,,
0x6CA641bb29E860785AAeE9cC6f7d523Ee869D2Fd,"33,180",0.2352%,940,,,,,,,,,,,,,,,,
0x6A4102c912D76C213e8185BA9c1c6Da49C23FDD4,"32,420",0.2298%,919,,,,,,,,,,,,,,,,
0x52Ef18a121e3e11263e7C5D73E26d84772735f38,"32,200",0.2283%,913,,,,,,,,,,,,,,,,
0x78aac5D0c4A1555Fa789DF1983Ab8104b2043a40,"30,400",0.2155%,862,,,,,,,,,,,,,,,,
0xB2159F4614AB1570252eC2CA43114adc45d2c7ac,"30,220",0.2142%,856,,,,,,,,,,,,,,,,
0x40d41d63DC562Df78A10c254fD7020CC05EdC5Ef,"27,240",0.1931%,772,,,,,,,,,,,,,,,,
0x37527ED858A23bf88F60Ed72EeAdbB5C2c4126C9,"27,120",0.1923%,769,,,,,,,,,,,,,,,,
0x1E644e605c6791F7c25D061C39Bf1eA3267804B4,"26,960",0.1911%,764,,,,,,,,,,,,,,,,
0x2e53ffA08b3063Eade475d6010B6e586543f9526,"26,100",0.1850%,740,,,,,,,,,,,,,,,,
0x54C8F341ad8fda395a3327167f473f97FE25D9cd,"25,380",0.1799%,719,,,,,,,,,,,,,,,,
0x0fAD2E4Fa87760FF4F5b92da0177b209A5C3C148,"23,420",0.1660%,664,,,,,,,,,,,,,,,,
0xA3672d4c28065F6E0b7345B6B19933f22a58BB24,"23,330",0.1654%,661,,,,,,,,,,,,,,,,
0x3e2f18E12fa3DE657CE80e603eBD120443D77523,"22,940",0.1626%,650,,,,,,,,,,,,,,,,
0xf1442Bd38022D93cC5ac5bCb11d41124C76295c8,"22,740",0.1612%,644,,,,,,,,,,,,,,,,
0x346bc0d0937c15d65fb04558c3bB1a5ae998EeE1,"22,600",0.1602%,640,,,,,,,,,,,,,,,,
0x0f6FE18DA8F7d02d7b78966bBd0C3fd4043Ec234,"21,866",0.1550%,620,,,,,,,,,,,,,,,,
0x780461227d7735e7e5254bdF4c43d8f460875f12,"21,100",0.1496%,598,,,,,,,,,,,,,,,,
0x8F8984056a112973bcfaf4AA78a72FF28E06B4f4,"19,720",0.1398%,559,,,,,,,,,,,,,,,,
0x0D54E98680AA3f63D1d645A511F4BdaC9EB26060,"19,500",0.1382%,552,,,,,,,,,,,,,,,,
0x3a1Cb9b55Cff831Ed9CFca4d37F006044dAEbddc,"17,900",0.1269%,507,,,,,,,,,,,,,,,,
0xB5D06fa5B756D90558e5390F934d765e55F3649A,"17,600",0.1248%,499,,,,,,,,,,,,,,,,
0x3d0de3A76cd9f856664DC5a3adfd4056E45da9ED,"16,979",0.1204%,481,,,,,,,,,,,,,,,,
0x84CD2c9770E986ff761CEC264913DD4a9E0dF17b,"16,940",0.1201%,480,,,,,,,,,,,,,,,,
0x25531Ac10c205D3cCc601B635aF8A3E9851B2a3B,"16,720",0.1185%,474,,,,,,,,,,,,,,,,
0x156126AA76Ed6E58eD24be8c1f3CF1C13579C060,"15,900",0.1127%,450,,,,,,,,,,,,,,,,
0xdfEcc3d915d11B8466e91968c1B14BFfeCC0E910,"15,900",0.1127%,450,,,,,,,,,,,,,,,,
0x460dDb531BB3fD2A29BcfdE90a9B7Bf977E91875,"15,600",0.1106%,442,,,,,,,,,,,,,,,,
0xdCa6662aeb61aB354A5c6016AC6A566D38511B83,"15,500",0.1099%,439,,,,,,,,,,,,,,,,
0x9bAf48FE23EF619B7C16ac7eB8eC72C86a5a28a3,"15,300",0.1085%,433,,,,,,,,,,,,,,,,
0x1443d0ec1F435df9996D66aaf6ACf2a9A182213a,"15,300",0.1085%,433,,,,,,,,,,,,,,,,
0x6ED1479D42EB78C0c66ffe31B51961179783b8a1,"15,300",0.1085%,433,,,,,,,,,,,,,,,,
0x95D207b161B22D3a90dA3D5C601Ec9fF2E8a5Dfa,"15,300",0.1085%,433,,,,,,,,,,,,,,,,
0x34fAB0Bd66f41Ed8F1e7C441dA88BADd25b8869c,"14,757",0.1046%,418,,,,,,,,,,,,,,,,
0xA1F8c88901c5cE54C955082d8541330f959491c5,"14,400",0.1021%,408,,,,,,,,,,,,,,,,
0x4582cF5Ef868E17Be689cf209c1693641BB5B4c1,"14,300",0.1014%,405,,,,,,,,,,,,,,,,
0x66e38B9AAca068cd2aEc64fc662278ED20226c64,"13,200",0.0936%,374,,,,,,,,,,,,,,,,
0x55f10Ac7323DaB8DBD46618b72F178Be85C6c0B3,"12,940",0.0917%,366,,,,,,,,,,,,,,,,
0x518B0F0D91408b88Fb47F518cC6945E78243bc79,"12,700",0.0900%,360,,,,,,,,,,,,,,,,
0xe74132aE58eE711e5195792bc6352Df53D41bc45,"12,480",0.0885%,353,,,,,,,,,,,,,,,,
0x2Af40bC2F3C1A8aCF1a55b5874F9b65055D3e11B,"12,340",0.0875%,349,,,,,,,,,,,,,,,,
0x2be8bE0e1B8f05C719689c6e4a1d2A26316Abd17,"11,920",0.0845%,337,,,,,,,,,,,,,,,,
0x47c13cD1Fb49BC31C586992156B934Fb7c5c23Fd,"11,700",0.0829%,331,,,,,,,,,,,,,,,,
0x9227B9b4A6514bB4D70d3C54Bd3Ebd40ce1C921B,"11,680",0.0828%,331,,,,,,,,,,,,,,,,
0x77A8f1E86804176F3C79661333e680d6d8c9a084,"11,500",0.0815%,326,,,,,,,,,,,,,,,,
0xA2D004dB6F3494EEa61b4CA88b3Ee0C0c5973330,"11,200",0.0794%,317,,,,,,,,,,,,,,,,
0x331Ddf15a6f9813995482f8392e48Ab27c29686C,"11,000",0.0780%,311,,,,,,,,,,,,,,,,
0xedfEe97C534b50A8B01Fcd30989B1594b1CA471C,"10,800",0.0766%,306,,,,,,,,,,,,,,,,
0xA5fE94BC1E5C7D7d10Ec79cFE13467ae41F00F7A,"10,800",0.0766%,306,,,,,,,,,,,,,,,,
0x4dd4530d2F3F00675f74280e38082e6058AC0Fcc,"10,740",0.0761%,304,,,,,,,,,,,,,,,,
0xA95eD3F2961573f91E9446282D4fa2f8cC5b6DC0,"10,720",0.0760%,303,,,,,,,,,,,,,,,,
0x035C9A5bcC727CAc43A7C675Bca8a560487c4061,"10,650",0.0755%,301,,,,,,,,,,,,,,,,
0xB59d4E87f91F75EdA3434AA016836B0A011e5d09,"10,600",0.0751%,300,,,,,,,,,,,,,,,,
0x23796cfdE2d067a7A91513862E5136965686FD40,"9,890",0.0701%,280,,,,,,,,,,,,,,,,
0x37Bd8A9192F1c998087022946E73d5819b6ec8C2,"9,800",0.0695%,277,,,,,,,,,,,,,,,,
0xA37Fd0b0791A7baE0645807F6f2fE2c5A0dFC7BF,"9,780",0.0693%,277,,,,,,,,,,,,,,,,
0xFFfbD9696aC695f214f989fef439136878929d54,"9,300",0.0659%,263,,,,,,,,,,,,,,,,
0x545D5707014759234822fF868556d7558A7Cc19d,"9,100",0.0645%,258,,,,,,,,,,,,,,,,
0x4A98b1547Df74d2a953d32DA345e1e6AA737065b,"8,200",0.0581%,232,,,,,,,,,,,,,,,,
0x6579204E4aBDB56e41f5A05E30342eE92B3EDDd9,"8,200",0.0581%,232,,,,,,,,,,,,,,,,
0x4b43Ac2007244b53Ce0e7683D66D2A6d6e1c12c8,"8,100",0.0574%,229,,,,,,,,,,,,,,,,
0x8A18d98e472149223faBd44ca7F66Dab8AEeA8D6,"7,920",0.0561%,224,,,,,,,,,,,,,,,,
0x61a16e3876Ff81Bc6EeFe210408a711FBC3AEA50,"7,900",0.0560%,224,,,,,,,,,,,,,,,,
0xb6248698D2eea82Da4d1eAeF3d60e1a80419Ecb8,"7,800",0.0553%,221,,,,,,,,,,,,,,,,
0x86406F70f3D581D36952e5BeF9e3542be5eac5aC,"7,500",0.0532%,212,,,,,,,,,,,,,,,,
0xeA26b1499da35276f63cDED1fe45E443f01178f2,"7,500",0.0532%,212,,,,,,,,,,,,,,,,
0x5126fb26De8B96778fD5de5FA8003649A404Cb13,"7,000",0.0496%,198,,,,,,,,,,,,,,,,
0xb7e1ce8bE89D55A705feB7f64A17a44478dF4787,"6,700",0.0475%,189,,,,,,,,,,,,,,,,
0xc39D3f403A81b334F806C9441eB51B776f969A47,"6,700",0.0475%,189,,,,,,,,,,,,,,,,
0x06a515fd1C8F56B8128E3E0B5117c73673E76383,"6,500",0.0461%,184,,,,,,,,,,,,,,,,
0xa4908aa456f9F1c350B7DaDE96e505835acf4195,"6,500",0.0461%,184,,,,,,,,,,,,,,,,
0xe37c9055f42ecB91BeF4f839E812C8E0D1F9D55b,"6,500",0.0461%,184,,,,,,,,,,,,,,,,
0xb76E517D1C7E2EA6B12f1584b7737F1bb12A8625,"6,320",0.0448%,179,,,,,,,,,,,,,,,,
0xa4d5E5d72afe379f694b417aBbE294b1bc3f60b5,"6,200",0.0440%,175,,,,,,,,,,,,,,,,
0x02836137a7Dd87461f02d3EB39a74990f589f59c,"5,700",0.0404%,161,,,,,,,,,,,,,,,,
0x1cc2C2B1492dc7d9FB752454612Ab4499e438968,"5,700",0.0404%,161,,,,,,,,,,,,,,,,
0x93f7B0613635ACd443eBE498068c016FD379dB86,"5,700",0.0404%,161,,,,,,,,,,,,,,,,
0x46D07776c14c5B8185a531273833eC4418b1FBB2,"5,600",0.0397%,158,,,,,,,,,,,,,,,,
0xAc8c1403F1cedA65a10564fa8010195531AF2bD8,"5,600",0.0397%,158,,,,,,,,,,,,,,,,
0x60fA95846F0893C976111F2e55468B3741a31b75,"5,520",0.0391%,156,,,,,,,,,,,,,,,,
0x46B2AA5B8a64ADc2636D453539434bb7c881aF06,"5,490",0.0389%,155,,,,,,,,,,,,,,,,
0xEEe833CCD95a0927BF79f25136588bC9C7d0aA81,"5,440",0.0386%,154,,,,,,,,,,,,,,,,
0x570C531810ce02FEb5eB2A9e1a2405464c82A7ec,"5,400",0.0383%,153,,,,,,,,,,,,,,,,
0xA10A77c02B524d2e49b2BaF466aE478d0fdD2136,"5,400",0.0383%,153,,,,,,,,,,,,,,,,
0xa2DDD9a292168B58700E736098312adF643e2041,"5,180",0.0367%,146,,,,,,,,,,,,,,,,
0xDe19CA1007d1C083eF62c3859897Cbb64dD20c61,"5,180",0.0367%,146,,,,,,,,,,,,,,,,
0x6df751fbCaD19fB4A2228b60F4EA9b30e951ceB3,"5,120",0.0363%,145,,,,,,,,,,,,,,,,
0x474BEE129bd6A4D21AAA178E3a1897065f527656,"5,100",0.0362%,144,,,,,,,,,,,,,,,,
0x81d8449Ac9E26A3C673a5F09fcD6AfA1DFdDD008,"5,100",0.0362%,144,,,,,,,,,,,,,,,,
0xBAD29a92ca1bEdCD6C17b3917BCD38D71Fd25370,"5,100",0.0362%,144,,,,,,,,,,,,,,,,
0xe9a1aE78abe238681e96809Ef2c3ca138c96c748,"5,100",0.0362%,144,,,,,,,,,,,,,,,,
0x1a31E9384Ad1AEA87fc167b41559d62F39c0F0B0,"5,080",0.0360%,144,,,,,,,,,,,,,,,,
0xD131a91F5aF75e46A12b7E68f95072C8379c0D67,"5,080",0.0360%,144,,,,,,,,,,,,,,,,
0x4308d35f1034c95CEd83dc8243bdB1cb0cd8483A,"5,020",0.0356%,142,,,,,,,,,,,,,,,,
0x1C860BdA626c38C722052e6d4f93Ed1CBD2C08E7,"5,000",0.0354%,141,,,,,,,,,,,,,,,,
0x4AeEF77A1207260c381103d348069Ad3E68b3122,"5,000",0.0354%,141,,,,,,,,,,,,,,,,
0x80EC69bF0F5d33887d6d0317d338eD8fe8f7346F,"5,000",0.0354%,141,,,,,,,,,,,,,,,,
0x812b0fBC7104AE79b1573fa411570608C34e0584,"5,000",0.0354%,141,,,,,,,,,,,,,,,,
0x8d0DcDF6a1C7729659761AcfC85EC7db6C3Ae814,"5,000",0.0354%,141,,,,,,,,,,,,,,,,
0xD8B12124E045E36C656Ca1E0d33353573969C560,"5,000",0.0354%,141,,,,,,,,,,,,,,,,
0xD5f287B7cEb8b5ab90185AECaF117F308ADC44F5,"4,980",0.0353%,141,,,,,,,,,,,,,,,,
0x7B0eBa6dBE9527064B0ff867747D911D1E0e7538,"4,800",0.0340%,136,,,,,,,,,,,,,,,,
0xb6a6d39fdB54994DA8581b8A0fcEBad1cFD9eafa,"4,800",0.0340%,136,,,,,,,,,,,,,,,,
0x8A5ee8277A6ab6e94f5fC7B5556d7A4Ad524649b,"4,700",0.0333%,133,,,,,,,,,,,,,,,,
0xd79AC5D47dC7D6037cB57CE80BFe08AAb671014b,"4,700",0.0333%,133,,,,,,,,,,,,,,,,
0x574e1cf3cb6bC3863e5e90e1Aaf53Bec8Df19C5D,"4,640",0.0329%,131,,,,,,,,,,,,,,,,
0x75D62f17e4D341e34EF5596146c774CAc3dDCFd4,"4,600",0.0326%,130,,,,,,,,,,,,,,,,
0x2371Dc7D86bF8f3d9703D5AD2CB87FDA692a13d3,"4,580",0.0325%,129,,,,,,,,,,,,,,,,
0x2BcE76d419a4aD4f47AF7e0fCA16CcA118B60A47,"4,500",0.0319%,127,,,,,,,,,,,,,,,,
0xdd38AF26d62D5afCC1e8E7cEfB0010f7ccc93Fd6,"4,500",0.0319%,127,,,,,,,,,,,,,,,,
0x78e1434793180dbD67Ad75E29d9a69c4C39588FD,"4,400",0.0312%,124,,,,,,,,,,,,,,,,
0xa1f708fDE941942182DfE36220D9037dc9215350,"4,400",0.0312%,124,,,,,,,,,,,,,,,,
0xD436142C7ba90979Fe549136583B7a598B10647C,"4,400",0.0312%,124,,,,,,,,,,,,,,,,
0xdbD91E16EC6fb4e7CDAFf78A017277f382161D71,"4,400",0.0312%,124,,,,,,,,,,,,,,,,
0x07D01e637BF044CC8F02a72e263A8e9858A95571,"4,380",0.0310%,124,,,,,,,,,,,,,,,,
0x1D7A4874a6030b573d32a3616D2837F9f4CcD93B,"4,300",0.0305%,121,,,,,,,,,,,,,,,,
0x30224981a4b5A6e2938d0a62900F77f90A2A0c24,"4,300",0.0305%,121,,,,,,,,,,,,,,,,
0x4e447bbc628dA2629094A36a4932f3ac80868Cab,"4,300",0.0305%,121,,,,,,,,,,,,,,,,
0xa36FBe6b4093535F488e13e38F83378103C484F7,"4,200",0.0298%,119,,,,,,,,,,,,,,,,
0x9E93499Dff9aa07C81E032f59bE287C42D46f5E3,"4,100",0.0291%,116,,,,,,,,,,,,,,,,
0xb96f79ab68F928B44b7ABb62ff89F54B5609a5F8,"4,100",0.0291%,116,,,,,,,,,,,,,,,,
0xFa1b2e5c78770898F9BF9Fc1B0cc46f0E7B06337,"4,100",0.0291%,116,,,,,,,,,,,,,,,,
0xe4A490945a322B75aB8D8C11171C6Ff5e2d36F78,"4,020",0.0285%,113,,,,,,,,,,,,,,,,
0x59B7934f3f43aa3d23B94dc22036C746F1bad235,"4,000",0.0284%,113,,,,,,,,,,,,,,,,
0x962D1B35e18B96d3769019A9aE7e0A1258dabE57,"4,000",0.0284%,113,,,,,,,,,,,,,,,,
0xBf5e8C80F117e953CBD0D835B6121024505A6505,"4,000",0.0284%,113,,,,,,,,,,,,,,,,
0xCB854CBD3C3916049c3E1aB922ef7b19622F642C,"4,000",0.0284%,113,,,,,,,,,,,,,,,,
0xDaa5074a406a66344b25B6298f5F55Dea6D2cAC2,"4,000",0.0284%,113,,,,,,,,,,,,,,,,
0xf687b7Bb4A3c209401aCC99fd7B48316A0fF5448,"4,000",0.0284%,113,,,,,,,,,,,,,,,,
0x694ede36F8483Cff99dCe6B36Bbe986358d01030,"3,980",0.0282%,112,,,,,,,,,,,,,,,,
0x264E324C9A2C92418e0efF8E4Fe969a3aE9A7c31,"3,900",0.0276%,110,,,,,,,,,,,,,,,,
0x3Ac05fd4329b42A45fa81D2467B7D3F6dB233E94,"3,900",0.0276%,110,,,,,,,,,,,,,,,,
0x84c8365Be8B09D309249988cFAD65bBDeff544ac,"3,900",0.0276%,110,,,,,,,,,,,,,,,,
0xD7C051b9940A81566b9b940d7b7DAf8455A3997b,"3,900",0.0276%,110,,,,,,,,,,,,,,,,
0x6aDC9d3Ca33D2794E493c61119883ef680661447,"3,820",0.0271%,108,,,,,,,,,,,,,,,,
0x16EAC8110d6833e4E39347be0055C7dD6fc6896d,"3,800",0.0269%,107,,,,,,,,,,,,,,,,
0x67Ef0323203BEf1EA28644884b75Af8cED37BE06,"3,800",0.0269%,107,,,,,,,,,,,,,,,,
0x84F06E1227DAe87c04B3cEE2efA2b0d179837893,"3,800",0.0269%,107,,,,,,,,,,,,,,,,
0xBC7727446d39CaAC123E8A690e7499995aDa7EF1,"3,800",0.0269%,107,,,,,,,,,,,,,,,,
0xc4fb56489022d8e1F081A31905A76D8A44cDCBE0,"3,800",0.0269%,107,,,,,,,,,,,,,,,,
0xFCE569FB7951aBd6095385DCAd5A3CEb6BB3253d,"3,800",0.0269%,107,,,,,,,,,,,,,,,,
0x08299d244c21BEE544808c911fD3Dea59051ecC0,"3,700",0.0262%,104,,,,,,,,,,,,,,,,
0x6dC4651c4799b8b012c525020E2eB7b087cD5167,"3,600",0.0255%,102,,,,,,,,,,,,,,,,
0xeB44e77d37C9a88F8e6E5069c1A95675D01360c6,"3,600",0.0255%,102,,,,,,,,,,,,,,,,
0xC0919fEE4D3C114f227766C1e18CF0F2e3C36a1B,"3,580",0.0254%,101,,,,,,,,,,,,,,,,
0xD09E4789F6873637350989dC71B458bAE7b24Ae1,"3,520",0.0250%,99,,,,,,,,,,,,,,,,
0xf20DB2aCC51a818Df83e4Ab4149d4226067307c9,"3,520",0.0250%,99,,,,,,,,,,,,,,,,
0x58f60779a19C33Efe2a66BB4dA353DD6f8F0e63E,"3,500",0.0248%,99,,,,,,,,,,,,,,,,
0x71E91826a68EBd2d1C4C4D6D77BA8609567b5C86,"3,500",0.0248%,99,,,,,,,,,,,,,,,,
0x95E84e30B481c273461E91EA334303096657A034,"3,500",0.0248%,99,,,,,,,,,,,,,,,,
0x8d5D9a0d0C16Ff2ee18b5Efe8D8D570FEdA42EC0,"3,400",0.0241%,96,,,,,,,,,,,,,,,,
0xb06b2965290DA10ABB8e48555F8154BE50DD15D9,"3,400",0.0241%,96,,,,,,,,,,,,,,,,
0x726434a7Dd332B580BbA133cA287872aC5a4d882,"3,200",0.0227%,90,,,,,,,,,,,,,,,,
0xe0172E4a55d8c1739fAcA9533d76404D5cF535A4,"3,200",0.0227%,90,,,,,,,,,,,,,,,,
0x01678b8a08473e3BDad109B738B805790D80b18f,"3,100",0.0220%,87,,,,,,,,,,,,,,,,
0xbC5caC2A7528E171de905a0C77Be1eaF3252B347,"3,100",0.0220%,87,,,,,,,,,,,,,,,,
0xcbE7fFC476BA77b20399f2834f0b4aD3396Da1B3,"3,100",0.0220%,87,,,,,,,,,,,,,,,,
0xD20CC1610BB0D0CF0daacb159AB6Cc4787D9e6D4,"3,100",0.0220%,87,,,,,,,,,,,,,,,,
0x26662f04ED3942a14c71E962a2768128Ee86E263,"3,000",0.0213%,85,,,,,,,,,,,,,,,,
0xa4BF7aD2b5babE3Bc519B53489Efd987405A6540,"2,900",0.0206%,82,,,,,,,,,,,,,,,,
0xba0ebc706ffbd4ffFDa79108ee1a6d9f6E79968E,"2,900",0.0206%,82,,,,,,,,,,,,,,,,
0xCAe2E56E83a8Da68A97fC735a22BE3127505b093,"2,820",0.0200%,79,,,,,,,,,,,,,,,,
0x163412FC7a714d12BE209d55eE9d228347332Fb4,"2,800",0.0198%,79,,,,,,,,,,,,,,,,
0x2920f8c2eeabC8f52cffD6C0D56b70E4CF6A2a78,"2,800",0.0198%,79,,,,,,,,,,,,,,,,
0x1c15D1ec9CBFaccC05C3352d9D296d82EeC83287,"2,700",0.0191%,76,,,,,,,,,,,,,,,,
0x3ce04cA823aAb94767573D86E34b7a2F61c1257a,"2,700",0.0191%,76,,,,,,,,,,,,,,,,
0x58aB20F9041bC26cfB044268539a898104E46870,"2,700",0.0191%,76,,,,,,,,,,,,,,,,
0xa6A89eB48bc63Ac54ac5b24486c1B15f8Dc16FF0,"2,700",0.0191%,76,,,,,,,,,,,,,,,,
0xb2B1004B33121f49524ac2C3B0332B502C62D695,"2,700",0.0191%,76,,,,,,,,,,,,,,,,
0xE3092BA977Ec024D6d135E8b8F4C40866193f112,"2,700",0.0191%,76,,,,,,,,,,,,,,,,
0x5181c3bEf855dab2a98EA228Ca2F0e524Dd009F7,"2,600",0.0184%,73,,,,,,,,,,,,,,,,
0x8048a8AD798cbaAF65c2e445491Cb7394F801020,"2,600",0.0184%,73,,,,,,,,,,,,,,,,
0x955A814D8FA2386AF95a6e53CEdd48AbF3B933ea,"2,600",0.0184%,73,,,,,,,,,,,,,,,,
0xCF3Da4dB7678e4f9EB5382dD39fF1eb21a2b3E69,"2,600",0.0184%,73,,,,,,,,,,,,,,,,
